latitude,longitude,empty_slots,free_bikes,total_bike_slots,count_of_restaurants
54.604948,-5.921534,10,5,15,50
54.600337,-5.905516,9,6,15,42
54.595315,-5.949091,8,2,10,30
54.59584,-5.929881,9,5,14,50
54.580556,-5.920504,4,6,10,47
54.583901,-5.93281,7,6,13,50
54.601319,-5.931308,12,0,12,50
54.574854,-5.932134,7,6,13,50
54.597573,-5.927663,6,0,6,50
54.597142,-5.934827,8,3,11,50
54.586848,-5.939333,12,3,15,50
54.599358,-5.929838,12,1,13,50
54.583948,-5.936989,10,6,16,50
54.594634,-5.927441,10,4,14,50
54.594321,-5.915236,11,0,11,35
54.612417,-5.936748,8,0,8,50
54.59268,-5.931528,13,3,16,50
54.589329,-5.933508,7,7,14,50
54.588123,-5.935525,14,3,17,50
54.607397,-5.937086,20,0,20,38
54.604986,-5.932853,10,0,10,50
54.603612,-5.929286,12,0,12,50
54.595321,-5.91646,18,1,19,50
54.597177,-5.930825,19,0,19,50
54.596086,-5.892781,5,6,11,50
54.601425,-5.925847,8,4,12,50
54.601437,-5.921996,16,1,17,50
54.594821,-5.933116,4,4,8,50
54.599399,-5.947595,3,4,7,37
54.592172,-5.925547,9,2,11,50
54.591219,-5.92265,3,3,6,50
54.611849,-5.942139,14,0,14,49
54.593469,-5.934409,15,0,15,50
54.608528,-5.941029,10,0,10,47
54.599697,-5.936308,6,5,11,50
54.603923,-5.917243,20,3,23,50
54.572534,-5.915076,7,9,16,50
54.589851,-5.958463,16,3,19,39
54.603687,-5.944403,14,4,18,35
54.598753,-5.899396,1,9,10,50
54.595255,-5.92368,10,1,11,50
54.605713,-5.911299,16,3,19,17
54.611906,-5.902814,4,15,19,16
54.598203,-5.924033,10,1,11,50
54.59727,-5.921116,12,9,21,50
54.578142,-5.918787,2,2,4,49
54.598305,-5.890582,5,11,16,50
54.60342,-5.906825,13,5,18,41
54.583056,-5.956993,13,0,13,49
54.581962,-5.977871,3,4,7,50
54.618475,-5.938534,8,1,9,50
54.576116,-5.942574,2,18,20,50
54.586112,-5.891912,3,13,16,50
54.590889,-5.967314,9,0,9,45
54.577839,-5.881805,11,1,12,17
54.575364,-5.955373,2,5,7,50
54.609674,-5.9727,11,3,14,19
54.621307,-5.923744,14,8,22,31
54.594131,-5.868545,3,5,8,50
